GeoRegion,id,Operators,Domicile,Country,EconRegion,Growth_1Yr,Growth_2Yrs,Growth_3Yrs,Growth_4Yrs,Growth_5Yrs,Growth_10Yrs,entrytime,Admin,Demographics,Economic,Financial,Geographic,Global_Connected,Knowledge,Political,Brand_Val,Enterprise_Val,BV_div_EV,Brand_Rat_3cat,Nos_Countries,Large_Govt_Share,Major_Share,Operato_Age,Multinational,Nos_Empl,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI_Index,Econ_Glob,Social_Glob,Political_Glob,Overall_Glob,GII_Input,GII_Output,GII_Overall,PR,CL,Ethnic_Frac,Linguistic_Frac,Religious_Frac,Power_Distance,Individualism,Masculinity,UA,Longtrem,Indulgence_Restraint,G3,opertype
2,1,3 (CK Hutchison),Hong Kong,Italy,1,1.61,1.52,.,.,.,.,3.55,15.473,11.318,46.24,54.745,9.2263,1.26,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,2.894,60.365,28.82,0.869,200.909,68.209,33.5,73.18,78.99,98.41,82.28,47.88,33.49,40.69,1,1,0.115,0.115,0.303,50,76,70,75,61.46,29.69,0,0
5,2,Africell (Lintel),Congo,Uganda,4,0.88,0.6,0.47,0.41,0.4,.,9.25,12.358,1.569,10.527,.,1.9056,.,.,6.0954,0.05,.,.,1,3,0,3,17,1,0.501,8.105,24.682,1.09,0.396,120.311,12.082,44.2,48.66,22.76,71.86,45.49,29.86,22.87,26.37,5,4,0.93,0.923,0.633,64,27,41,52,23.68,52.46,1,0
5,2,Africell (Lintel),Congo,Gambia,4,1.19,0.94,0.76,.,.,.,11.5,8.34,2.226,7.37,.,3.8376,5.407,.,4.8972,0.05,.,.,1,3,0,3,17,1,0.501,10,1.248,1.29,0.384,121.724,47.868,47.1,50.64,38.83,64.8,50.18,27.84,18.75,23.29,6,6,0.786,0.808,0.097,77,20,46,54,9,78,1,0
5,2,Africell (Lintel),Congo,Sierra Leone,4,0.98,0.85,0.74,.,.,.,11,6.692,5.15,12.524,.,3.1248,6.263,.,4.9068,0.05,.,.,1,3,0,3,17,1,0.501,5.338,4.218,1.17,0.302,63.235,35.626,33.99,35.71,18.02,61.16,36.2,28.31,6.98,17.65,2,3,0.819,0.763,0.54,77,20,46,54,9,78,1,0
1,3,Airtel (Bharti Airtel),India,Sri Lanka,3,0.9,0.76,0.67,.,.,.,8.5,0.103,1.403,2.06,0.305,1.5104,0.101,0.001,3.4666,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,2.825,18.942,4.6,0.686,297.48,18.443,40.25,46.93,39.29,72.99,51.3,33.2,27.53,30.36,5,4,0.415,0.465,0.485,80,35,10,45,45,15.25,1,0
5,3,Airtel (Bharti Airtel),India,Uganda,4,1.04,0.89,0.79,0.73,.,.,12.01,3.6,7.142,0.458,0.315,5.3335,.,0.001,8.4794,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,8.105,24.682,1.09,0.396,120.311,12.082,44.2,48.66,22.76,71.86,45.49,29.86,22.87,26.37,5,4,0.93,0.923,0.633,64,27,41,52,23.68,52.46,1,0
5,3,Airtel (Bharti Airtel),India,Sierra Leone,4,0.96,0.83,0.75,0.69,0.64,.,11.5,1.87,9.112,1.937,.,9.5415,4.835,.,8.3017,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,5.338,4.218,1.17,0.302,63.235,35.626,33.99,35.71,18.02,61.16,36.2,28.31,6.98,17.65,2,3,0.819,0.763,0.54,77,20,46,54,9,78,1,0
5,3,Airtel (Bharti Airtel),India,Burkina Faso,4,0.81,0.68,.,.,.,.,12.75,10.567,6.018,0.826,.,8.397,0.223,0.001,7.8766,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,10,11.777,1.12,0.325,42.427,17.844,39.2,33.74,21.33,59.73,36.33,32.87,23.49,28.18,6,3,0.738,0.723,0.58,77,20,46,54,.,.,1,0
1,3,Airtel (Bharti Airtel),India,Bangladesh,3,0.79,.,.,.,.,.,13.26,42.891,1.107,0.087,0.273,1.4131,0.168,0.002,0.6583,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,5.006,133.556,1.79,0.468,1010.842,23.59,32.13,28.06,22.61,75.1,39.02,29.64,26.47,28.05,3,4,0.045,0.093,0.209,80,20,55,60,47.1,19.64,1,0
5,3,Airtel (Bharti Airtel),India,Tanzania,4,1.1,0.81,0.75,0.7,0.64,.,7.5,8.022,3.153,0.158,0.29,5.4323,11.65,0.001,12.3863,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,4.1,34.458,0.68,0.391,38.584,22.309,40.28,38.82,18.38,55.17,35.78,30.45,31.93,26.88,4,3,0.735,0.898,0.633,64,27,41,52,34.01,38.39,1,0
5,3,Airtel (Bharti Airtel),India,Chad,4,.,.,.,.,.,.,14.01,9.116,9.555,1.331,.,6.1547,.,0.002,8.5294,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,6.184,8.461,3.83,0.3,6.625,21.637,39.8,28.31,13.73,35.18,24.82,30.63,14.23,22.43,7,6,0.83,0.833,0.792,.,.,.,.,.,.,1,0
5,3,Airtel (Bharti Airtel),India,Congo,3,0.63,0.51,0.44,.,.,.,11.25,10.329,2.673,8.284,.,7.1481,0.17,.,8.2924,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,3.959,47.558,16.04,0.331,20.765,58.695,48.94,68.12,26.16,41.45,45.27,30.59,24.46,27.52,6,6,0.875,0.687,0.664,.,.,.,.,.,.,1,0
5,3,Airtel (Bharti Airtel),India,Madagascar,4,0.75,0.67,0.57,.,.,.,12.01,10.654,5.362,0.952,.,5.5251,0.865,0.001,7.5635,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,4.96,15.99,0.97,0.387,27.112,27.121,40.63,43.99,20.66,65.32,41.26,31.2,19.63,25.41,5,4,0.879,0.02,0.519,77,20,46,54,9,78,1,0
5,3,Airtel (Bharti Airtel),India,Malawi,4,0.85,0.71,.,.,.,.,10,1.593,5.364,1.157,1.317,6.0068,0.516,0.001,7.5385,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,5.813,11.472,1.03,0.725,120.664,14.61,46.12,38.31,24.74,61.73,39.76,32.82,19.11,25.96,3,4,0.674,0.602,0.819,77,20,46,54,9,78,1,0
5,3,Airtel (Bharti Airtel),India,Nigeria,3,1.03,0.85,0.75,0.68,.,.,8.5,1.862,4.433,4.4,0.142,7.457,0.141,0.001,7.5471,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,10,124.441,1.28,0.445,134.339,34.84,42.97,52,19.82,87.95,50.03,27.72,28.58,28.15,4,4,0.851,0.832,0.742,77,20,46,54,12.85,83.93,1,0
5,3,Airtel (Bharti Airtel),India,Rwanda,4,0.79,0.72,0.69,0.63,0.6,.,12.01,24.912,4.331,1.093,.,5.6842,1.13,.,9.2415,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,10,8.578,0.99,0.332,325.322,14.926,51.34,31.31,24.02,67.15,38.5,34.73,17,25.86,6,6,0.324,0,0.507,.,.,.,.,18.39,37.28,1,0
