GeoRegion,id,Operators,Domicile,Country,EconRegion,Growth_1Yr,Growth_2Yrs,Growth_3Yrs,Growth_4Yrs,Growth_5Yrs,Growth_10Yrs,entrytime,Admin,Demographics,Economic,Financial,Geographic,Global_Connected,Knowledge,Political,Brand_Val,Enterprise_Val,BV_div_EV,Brand_Rat_3cat,Nos_Countries,Large_Govt_Share,Major_Share,Operato_Age,Multinational,Nos_Empl,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI_Index,Econ_Glob,Social_Glob,Political_Glob,Overall_Glob,GII_Input,GII_Output,GII_Overall,PR,CL,Ethnic_Frac,Linguistic_Frac,Religious_Frac,Power_Distance,Individualism,Masculinity,UA,Longtrem,Indulgence_Restraint,G3,opertype
1,5,Beeline (VimpelCom),Russia,Georgia,2,.,.,.,.,.,.,5.3,9.855,2.07,2.324,2.569,8.1078,1.928,0.09,28.6,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,3.666,4.395,8.88,0.738,69.597,52.723,41.7,76.68,52.88,49.44,60.38,38.54,25.2,31.87,4,4,0.492,0.475,0.654,.,.,.,.,38.29,31.92,0,0
1,5,Beeline (VimpelCom),Russia,Uzbekistan,3,.,.,.,.,.,.,5.3,11.782,6.386,4.832,.,6.4698,.,0.164,28.6,4.12,25.26,0.16,2,6,0,47.9,9,1,36.355,3.561,27.581,2.08,0.657,65.274,36.235,35,40.69,38.2,44.04,40.69,33.23,14.65,23.94,7,7,0.413,0.412,0.213,.,.,.,.,.,.,0,0
2,6,Bite (Providence),Lithuania,Lithuania,1,1.37,1.36,0.93,0.95,0.81,.,5.75,0,0,0,0,0,0,0,0,0.07,.,.,1,2,0,100,13,0,0.24,5.346,3.48,8.57,0.757,55.832,66.986,34.44,76.41,65.33,71.24,70.89,47.46,29.52,38.49,1,1,0.322,0.322,0.414,42,60,19,65,81.86,15.63,1,1
2,6,Bite (Providence),Lithuania,Latvia,1,1.1,1.12,1.07,1.01,0.93,.,5.75,21.618,0.325,0.017,0.146,0.1272,0.788,0.003,1.381,0.07,.,.,1,2,0,100,13,0,0.24,5.602,2.358,8.12,0.728,38.066,68.067,36.4,77.04,68.32,47.77,65.75,47.46,32.14,39.8,1,1,0.587,0.58,0.556,44,70,9,63,68.77,12.95,1,1
5,7,Cable & Wireless,United Kingdom,Seychelles,1,0.93,0.79,0.7,0.64,.,.,10.25,11.306,.,4.805,.,8.4163,8.764,9.748,.,0.97,7.02,0.14,1,2,0,31,7,1,7.6,5.183,0.08,17.37,0.714,176.372,50.12,42.77,76.69,55.03,35.22,57.26,44.45,32.68,38.6,3,3,0.203,0.161,0.232,77,20,46,54,9,78,1,1
4,7,Cable & Wireless,United Kingdom,Panama,2,0.68,0.56,0.45,.,.,.,11,13.566,8.678,11.743,6.761,8.4259,6.789,11.023,7.1473,0.97,7.02,0.14,1,2,0,31,7,1,7.6,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,95,11,44,86,.,.,1,1
1,8,Cellcom,Israel,Israel,1,1.12,0.89,0.79,0.68,0.58,0.32,4,0,0,0,0,0,0,0,0,0.47,2.77,17,2,2,0,41.77,24,0,3.6,3.362,6.072,22.36,0.85,290.619,91.203,41.7,78.97,76.82,59.12,72.7,65.53,48.94,54.1,1,2,0.344,0.553,0.347,13,54,47,81,37.53,25,1,1
5,8,Cellcom,Israel,Guinea,4,0.99,0.89,0.77,.,.,.,11.5,8.458,8.834,2.165,7.415,12.4764,4.387,15.407,16.7003,0.47,2.77,17,2,2,0,41.77,24,0,3.6,5.302,8.821,3.24,0.322,35.848,31.017,39.17,21.75,72.17,41.84,39.29,25.14,15.35,20.25,3,5,0.739,0.773,0.265,77,20,46,54,9,78,1,1
1,9,China Mobile,Hong Kong,Hong Kong,1,0.97,0.72,0.58,.,.,.,2.55,0,0,0,0,0,0,.,.,18.67,153.08,0.12,2,3,1,75.25,20,0,145.954,2.161,7.028,43.12,0.894,6640.762,100,32.6,54.31,54.09,84.15,62.46,68.57,45.08,56.82,5,5,0.062,0.213,0.419,68,25,57,29,61,17,0,0
1,9,China Mobile,Hong Kong,China,2,1.79,.,.,.,.,.,4.05,9.307,6.584,47.278,39.493,1.6765,2.492,.,.,18.67,153.08,0.12,2,3,1,75.25,20,0,145.954,5.648,1355.535,2.23,0.691,141.801,47.88,34,49.45,53.36,84.55,60.57,46.08,46.77,46.43,1,1,0.186,0.187,0.384,63,23,28,86,30.98,68,0,0
4,10,Claro (América Móvil),Mexico,Panama,2,0.26,0.43,0.42,0.4,0.38,.,8.5,4.264,0.363,3.925,5.068,2.8165,0.078,0.005,16.9672,3.33,84.02,0.04,1,21,0,100,18,1,193.103,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,95,11,44,86,.,.,1,1
4,10,Claro (América Móvil),Mexico,Costa Rica,2,0.55,0.3,0.25,.,.,.,11.25,5.182,0.18,1.025,0.056,2.4008,1.78,0.003,31,3.33,84.02,0.04,1,21,0,100,18,1,193.103,10,3.972,5.01,0.708,76.879,59.049,50.97,66.21,61.94,59.45,62.77,42.22,33.6,37.91,1,1,0.237,0.049,0.241,35,15,21,86,.,.,1,1
4,10,Claro (América Móvil),Mexico,Ecuador,2,0.18,0.24,0.25,0.2,0.18,.,8.25,3.724,0.044,0.575,0.263,3.8482,2.122,0.013,19.646,3.33,84.02,0.04,1,21,0,100,18,1,193.103,5.03,12.657,4.89,0.67,50.848,60.299,54.1,52,45.76,78.24,56.93,32.57,24.94,28.75,3,3,0.655,0.131,0.142,78,8,63,67,.,.,1,1
4,10,Claro (América Móvil),Mexico,Guatemala,3,0.71,0.61,0.54,0.51,0.48,.,7.5,5.182,3.216,0.314,.,1.4896,0.323,0.015,20.727,3.33,84.02,0.04,1,21,0,100,18,1,193.103,3.444,11.342,5.53,0.546,108.723,45.127,54.9,57.47,43.13,77.7,57.75,33.18,25.49,29.33,4,4,0.512,0.459,0.375,95,6,37,101,.,.,1,1
4,10,Claro (América Móvil),Mexico,Dominican Republic,2,0.85,0.82,0.84,0.77,0.69,.,5,12.054,0.391,0.803,.,3.2807,3.017,0.016,18.0641,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.578,8.731,7.56,0.656,177.243,61.746,50,52.94,49.55,67.67,55.75,34.6,27.27,30.94,2,2,0.429,0.04,0.312,.,.,.,.,13.1,54.24,1,1
4,10,Claro (América Móvil),Mexico,Argentina,2,2,1.26,0.96,0.81,0.72,.,7.25,5.006,2.416,0.423,0.485,7.5135,13.255,0.05,20.3403,3.33,84.02,0.04,1,21,0,100,18,1,193.103,2.686,37.088,12.52,0.771,13.541,89.142,45.27,40.84,52.7,92.34,59.42,37.29,33.44,35.36,2,2,0.255,0.062,0.224,49,46,56,86,20.4,61.83,1,1
4,10,Claro (América Móvil),Mexico,Chile,1,1.14,0.96,0.96,0.82,0.7,.,7.5,7.217,0.661,0.036,1.413,6.7682,0.788,0.042,31,3.33,84.02,0.04,1,21,0,100,18,1,193.103,3.034,15.547,9.46,0.761,20.527,86.073,48.2,83.22,53.95,86.03,73.19,48.09,29.6,38.84,1,1,0.186,0.187,0.384,63,23,28,86,30.98,68,1,1
4,10,Claro (América Móvil),Mexico,Colombia,2,2.37,1.63,1.29,1.07,0.9,.,7.5,4.371,0.739,0.371,0.084,3.8592,3.588,0.008,19.6829,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.93,40.228,7.64,0.653,36.416,72.075,55.9,49.64,46.88,79.63,56.89,38.72,25.92,32.32,3,4,0.601,0.019,0.148,67,13,64,80,13.1,83.04,1,1
4,10,Claro (América Móvil),Mexico,Nicaragua,3,0.88,0.81,0.74,0.69,0.65,.,7.5,4.074,2.669,1.481,.,2.1133,0.648,0.014,31,3.33,84.02,0.04,1,21,0,100,18,1,193.103,10,5.139,2.06,0.57,41.772,54.737,45.73,59.02,44.98,56.79,53.22,31.13,20.44,25.78,4,3,0.484,0.047,0.429,.,.,.,.,.,.,1,1
4,10,Claro (América Móvil),Mexico,Peru,2,0.99,0.87,0.79,0.73,0.67,.,7.5,4.533,0.485,0.274,0.088,4.6397,0.874,0.013,21.0961,3.33,84.02,0.04,1,21,0,100,18,1,193.103,5.293,26.186,4.98,0.677,20.246,73.042,47.96,74.14,43.41,84.1,65.54,39.06,21.63,30.34,2,3,0.657,0.336,0.199,64,16,42,87,25.19,46.21,1,1
4,10,Claro (América Móvil),Mexico,El Salvador,3,0.96,0.88,0.76,0.69,0.64,.,7.5,4.379,4.297,0.937,0.694,1.7161,0.254,0.015,20.7208,3.33,84.02,0.04,1,21,0,100,18,1,193.103,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,66,19,40,94,19.65,88.84,1,1
4,10,Claro (América Móvil),Mexico,Jamaica,2,1.02,0.98,0.9,0.74,.,.,6.25,16.594,2.913,.,0.203,2.6035,6.251,0.005,17.6505,3.33,84.02,0.04,1,21,0,100,18,1,193.103,10,2.594,7.88,0.68,245.324,51.814,45,73.83,44.44,68.53,61.52,38.89,18.87,28.88,2,3,0.413,0.11,0.616,45,39,68,13,.,.,1,1
4,10,Claro (América Móvil),Mexico,Paraguay,2,0.98,0.79,0.61,0.54,0.51,.,7.75,1.296,0.61,1.209,8.289,6.9933,0.334,0.015,20.6213,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.648,5.405,4.56,0.624,13.347,55.331,49.67,57.83,45.82,76.18,58.45,34.45,27.9,31.17,3,3,0.169,0.598,0.212,.,.,.,.,.,.,1,1
4,10,Claro (América Móvil),Mexico,Uruguay,2,1.29,1.29,1.07,0.9,0.79,.,7.25,8.993,5.934,0.14,1.096,7.9185,3.337,0.009,20.1205,3.33,84.02,0.04,1,21,0,100,18,1,193.103,0.00506,3.324,11.43,0.742,18.976,92.028,47,61.9,54.07,80.05,64.01,40.26,29.27,34.76,1,1,0.482,0.304,0.437,61,36,38,99,26,53,1,1
4,10,Claro (América Móvil),Mexico,Honduras,3,0.85,0.8,0.71,0.69,0.65,.,7.5,5.118,2.551,3.09,0.148,10.319,0.269,0.868,16.3552,3.33,84.02,0.04,1,21,0,100,18,1,193.103,10,6.3,3.06,0.557,58.31,45.458,51.56,65.44,44.58,69.24,58.79,33.08,22.53,27.81,4,4,0.187,0.055,0.236,80,20,40,50,.,.,1,1
4,10,Claro (América Móvil),Mexico,Honduras,3,.,.,.,.,.,.,5.3,5.118,0.639,1.824,.,1.8568,0.839,0.022,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.888,7.546,3.69,0.606,71.812,51.07,51.56,65.44,44.58,69.24,58.79,33.08,22.53,27.81,4,4,0.187,0.055,0.236,80,20,40,50,.,.,0,0
4,10,Claro (América Móvil),Mexico,Nicaragua,3,.,.,.,.,.,.,5.8,4.074,0.213,0.872,.,2.1133,1.529,0.02,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,5.548,5.783,2.18,0.614,47.088,56.974,45.73,59.02,44.98,56.79,53.22,31.13,20.44,25.78,4,3,0.484,0.047,0.429,.,.,.,.,.,.,0,0
4,10,Claro (América Móvil),Mexico,Argentina,2,.,.,.,.,.,.,5.55,5.006,1.904,.,0.168,7.5135,4.677,0.059,18.5722,3.33,84.02,0.04,1,21,0,100,18,1,193.103,3.211,40.199,15.27,0.802,14.908,90.795,45.27,40.84,52.7,92.34,59.42,37.29,33.44,35.36,2,2,0.255,0.062,0.224,49,46,56,86,20.4,61.83,0,0
4,10,Claro (América Móvil),Mexico,Chile,1,2.3,.,.,.,.,.,3.8,7.217,1.17,0.067,2.724,6.7682,0.365,0.105,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,3.578,17.071,11.83,0.815,22.634,88.375,49,82.08,53.01,88.94,73.24,48.09,29.6,38.84,1,1,0.186,0.187,0.384,63,23,28,86,30.98,68,0,0
4,10,Claro (América Móvil),Mexico,Panama,2,.,.,.,.,.,.,5.8,4.264,0.366,3.219,1.584,2.8165,0.529,0.005,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.008,3.647,9.14,0.756,48.149,64.828,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,95,11,44,86,.,.,0,0
4,10,Claro (América Móvil),Mexico,Ecuador,2,.,.,.,.,.,.,6.05,3.724,0.264,0.265,0.371,3.8482,0.171,0.018,21.5708,3.33,84.02,0.04,1,21,0,100,18,1,193.103,5.637,14.879,6.03,0.703,59.153,62.495,49.3,40.64,45.73,80.64,53.55,32.57,24.94,28.75,3,3,0.655,0.131,0.142,78,8,63,67,.,.,0,0
4,10,Claro (América Móvil),Mexico,Dominican Republic,2,.,.,.,.,.,.,3.8,12.054,0.389,0.098,.,3.2807,6.37,0.024,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.205,9.951,9.67,0.697,202.189,72.541,48.9,55.56,53.05,56.88,55,34.6,27.27,30.94,2,2,0.429,0.04,0.312,.,.,.,.,13.1,54.24,0,0
4,10,Claro (América Móvil),Mexico,Uruguay,2,1.13,.,.,.,.,.,4.3,23.019,4.343,0.044,0.514,7.9185,0.812,0.026,19.4263,3.33,84.02,0.04,1,21,0,100,18,1,193.103,0.00455,3.366,12.92,0.777,19.214,94.209,46,67.51,53.97,84.93,67.32,40.26,29.27,34.76,1,1,0.482,0.304,0.437,61,36,38,99,26,53,0,0
4,10,Claro (América Móvil),Mexico,Colombia,2,0.84,.,.,.,.,.,4.3,4.371,0.763,0.251,0.147,3.8592,0.452,0.009,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,5.267,46.124,11.13,0.695,40.934,74.749,55.9,49.64,46.88,79.63,56.89,38.72,25.92,32.32,3,4,0.601,0.019,0.148,67,13,64,80,13.1,83.04,0,0
4,10,Claro (América Móvil),Mexico,Peru,2,0.86,.,.,.,.,.,4.55,4.533,0.292,0.24,0.077,4.6397,0.288,0.016,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,4.731,29.099,6.4,0.708,22.657,76.552,47.96,74.14,43.41,84.1,65.54,39.06,21.63,30.34,2,3,0.657,0.336,0.199,64,16,42,87,25.19,46.21,0,0
4,10,Claro (América Móvil),Mexico,Costa Rica,2,3.22,.,.,.,.,.,5.3,5.182,0.635,0.692,0.868,2.4008,0.825,0.011,28.6,3.33,84.02,0.04,1,21,0,100,18,1,193.103,10,4.636,4.27,0.749,87.902,70.573,50.97,66.21,61.94,59.45,62.77,42.22,33.6,37.91,1,1,0.237,0.049,0.241,35,15,21,86,.,.,0,0
2,11,Deutsche Telekom,Germany,Austria,1,1.14,1.22,0.96,0.85,0.7,0.46,3.25,20.846,0.13,0.238,0.732,0.5157,0.652,1.066,5.8107,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.654,8.035,31.57,0.837,97.016,65.8,29.87,87.03,90.25,96.58,90.85,59.28,42.21,50.75,1,1,0.107,0.152,0.415,11,55,79,70,60.45,62.72,1,1
2,11,Deutsche Telekom,Germany,Croatia,1,0.68,0.61,0.55,0.47,0.41,0.28,4.75,35.458,0.915,4.456,3.737,0.8089,6.954,3.284,2.9876,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,5.01,4.461,7.56,0.749,79.163,55.587,30,70.5,70.44,78.17,72.59,45,30.96,37.98,2,2,0.369,0.076,0.445,73,33,40,80,58.44,33.26,1,1
2,11,Deutsche Telekom,Germany,Netherlands,1,1.86,1.4,1.13,0.96,0.85,.,5.5,10.955,1.049,1.863,3.172,0.2794,2.264,2.707,0.0499,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.158,15.905,31.93,0.878,471.727,76.795,30.74,94.12,88.43,91.17,91.2,60.42,52.2,56.31,1,1,0.105,0.514,0.722,38,80,14,53,67,68.3,1,1
2,11,Deutsche Telekom,Germany,Czech Republic,1,0.82,0.72,0.67,0.61,0.55,.,9.25,30.974,1.481,5.663,2.501,0.4818,4.9,.,2.8526,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,4.401,10.241,8.82,0.821,132.717,73.988,27.5,85.09,79.89,84.7,83.06,53.11,41.49,47.3,1,1,0.322,0.323,0.659,57,58,57,74,70.03,29.46,1,1
2,11,Deutsche Telekom,Germany,Germany,1,1.23,0.99,0.87,0.8,0.75,0.47,4,0,0,0,0,0,0,0,0,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.448,83.548,29.05,0.86,235.597,73.067,28.5,83.28,84.73,89.05,85.41,59.04,50.74,54.89,1,1,0.168,0.164,0.657,35,67,66,65,82.87,40.4,1,1
2,11,Deutsche Telekom,Germany,Slovakia,1,0.91,0.69,0.54,0.51,0.5,.,5.5,20.317,3.647,7.529,6.909,0.7966,5.792,3.191,2.8692,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,5.062,5.388,11.84,0.763,112.032,56.233,29.33,88.05,82.18,80.78,83.88,48.27,29.83,39.05,1,1,0.254,0.255,0.566,104,52,110,51,76.57,28.35,1,1
2,11,Deutsche Telekom,Germany,Poland,1,2.54,1.79,1.39,1.18,1.05,.,5,9.839,2.568,4.125,4.232,0.7697,3.958,3.409,2.843,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.578,38.333,10.83,0.784,124.91,61.716,34.49,67.24,77.44,92.62,78.01,46.29,29.74,38.02,1,1,0.118,0.047,0.171,68,60,64,93,37.78,29.24,1,1
2,11,Deutsche Telekom,Germany,Austria,1,0.69,0.97,1.21,1.21,.,.,1.05,0.939,0.814,0.165,0.409,0.5157,0.25,0.458,16.3645,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.177,8.387,36.03,0.872,101.036,65.847,31.5,85.35,91.56,97.08,90.88,59.28,42.21,50.75,1,1,0.107,0.152,0.415,11,55,79,70,60.45,62.72,0,1
2,11,Deutsche Telekom,Germany,Netherlands,1,0.39,.,.,.,.,.,4.05,10.955,2.382,1.116,3.206,0.2794,0.931,3.753,1.2216,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.841,16.588,34.39,0.906,490.08,86.242,28.38,91.9,89.43,93.23,91.35,60.42,52.2,56.31,1,1,0.105,0.514,0.722,38,80,14,53,67,68.3,0,1
2,11,Deutsche Telekom,Germany,Czech Republic,1,1.01,.,.,.,.,.,4.05,30.974,4.678,3.057,1.177,0.4818,1.225,.,5.0269,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,3.475,10.52,23.07,0.859,135.197,73.324,26.2,84.31,82.17,86.4,84.1,53.11,41.49,47.3,1,1,0.322,0.323,0.659,57,58,57,74,70.03,29.46,0,1
2,11,Deutsche Telekom,Germany,Croatia,1,1.03,-0.7,0.01,0.22,.,.,2.3,35.458,0.918,2.911,2.87,0.8089,6.88,2.864,16.3645,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,4.168,4.344,9.67,0.803,79.147,57.287,32.6,71.82,71.2,85.52,75.37,45,30.96,37.98,2,2,0.369,0.076,0.445,73,33,40,80,58.44,33.26,0,1
2,11,Deutsche Telekom,Germany,Germany,1,2.68,1.93,1.49,1.2,.,.,1.54,0,0,0,0,0,0,0,0,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,2.829,83.1,31.31,0.907,234.94,74.093,31.2,78.65,85.6,91.87,84.86,59.04,50.74,54.89,1,1,0.168,0.164,0.657,35,67,66,65,82.87,40.4,0,1
2,11,Deutsche Telekom,Germany,Slovakia,1,1.04,.,.,.,.,.,4.05,20.317,8.158,5.16,.,0.7966,1.181,3.053,4.8548,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,4.225,5.429,17.29,0.822,112.007,54.96,26.02,84.04,83.92,83.95,83.97,48.27,29.83,39.05,1,1,0.254,0.255,0.566,104,52,110,51,76.57,28.35,0,1
2,11,Deutsche Telekom,Germany,Slovakia,1,1.04,.,.,.,.,.,4.05,20.317,8.158,5.16,.,0.7966,1.181,3.053,4.8548,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,4.225,5.429,17.29,0.822,112.007,54.96,26.02,84.04,83.92,83.95,83.97,48.27,29.83,39.05,1,1,0.254,0.255,0.566,104,52,110,51,76.57,28.35,0,1
2,11,Deutsche Telekom,Germany,Poland,1,0.66,.,.,.,.,.,4.55,9.839,5.777,3.141,1.338,0.7697,1.103,3.105,4.7935,10.13,140.07,0.07,2,15,1,31.8,23,0,259.92,2.886,38.196,14.49,0.822,124.564,61.004,33.58,72.31,78.05,94.16,80.45,46.29,29.74,38.02,1,1,0.118,0.047,0.171,68,60,64,93,37.78,29.24,0,1
4,12,Digicel,Jamaica,Panama,2,0.65,0.51,0.42,.,.,.,11.25,9.269,4.635,.,5.176,1.0646,6.021,0,2.9405,0.65,.,.,2,17,0,100,17,0,6.5,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,95,11,44,86,.,.,1,0
4,12,Digicel,Jamaica,El Salvador,3,0.85,.,.,.,.,.,13.5,4.45,0.863,.,0.874,1.3163,6.938,0.003,7.2357,0.65,.,.,2,17,0,100,17,0,6.5,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,66,19,40,94,19.65,88.84,1,0
4,12,Digicel,Jamaica,Jamaica,2,0.67,0.58,0.47,.,.,.,11.25,0,0,0,0,0,0,0,0,0.65,.,.,2,17,0,100,17,0,6.5,10,2.594,7.88,0.68,245.324,51.814,45,73.83,44.44,68.53,61.52,38.89,18.87,28.88,2,3,0.413,0.11,0.616,45,39,68,13,.,.,1,0
3,12,Digicel,Jamaica,Papua New Guinea,3,0.76,0.56,0.45,0.37,.,.,10.75,4.097,5.377,.,0.16,15.0231,7.663,0.001,13.0345,0.65,.,.,2,17,0,100,17,0,6.5,10,5.449,2.19,0.422,12.305,13.204,52.5,65.34,22.01,58.47,47.45,32.93,26.8,29.87,4,3,0.272,0.353,0.552,.,.,.,.,.,.,1,0
3,12,Digicel,Jamaica,Samoa,3,0.95,0.78,0.68,.,.,.,11.5,.,1.932,.,.,10.9887,.,0.003,.,0.65,.,.,2,17,0,100,17,0,6.5,10,0.175,4.83,0.645,61.7,21.977,42,60.7,56.49,41.25,49.97,35.75,34.02,34.89,2,2,0.138,0.011,0.787,.,.,.,.,.,.,1,0
4,12,Digicel,Jamaica,Dominica,2,.,.,.,.,.,.,14.5,4.626,.,.,.,1.7506,7.757,0.064,.,0.65,.,.,2,17,0,100,17,0,6.5,10,0.07,5.05,0.695,92.901,65.265,42.1,87.42,42.96,27.72,36.45,34.95,29.64,32.29,1,1,0.2,0,0.463,.,.,.,.,.,.,1,0
3,12,Digicel,Jamaica,Vanuatu,3,0.92,0.78,0.68,.,.,.,11.25,1.418,2.295,.,.,13.2083,11.491,0,.,0.65,.,.,2,17,0,100,17,0,6.5,10,0.187,5.61,0.572,15.182,21.673,37.3,62.95,32.76,27.75,42.1,35.75,34.02,34.89,2,2,0.041,0.579,0.704,.,.,.,.,.,.,1,0
4,12,Digicel,Jamaica,Grenada,2,0.82,.,.,.,.,.,13.75,5.091,2.098,.,.,1.8318,.,.,0.3014,0.65,.,.,2,17,0,100,17,0,6.5,10,0.102,14.12,0.741,298.879,35.871,51.85,53.14,52.4,31.34,44.3,34.95,29.64,32.29,1,2,0.266,0,0.59,.,.,.,.,.,.,1,0
4,12,Digicel,Jamaica,Haiti,4,0.75,0.6,0.51,.,.,.,11.25,8.065,2.032,.,.,0.5427,6.854,0.003,1.4371,0.65,.,.,2,17,0,100,17,0,6.5,5.041,8.649,1.66,0.443,310.203,35.6,40.9,49.96,26.35,41.57,38.93,30.63,14.23,22.43,4,5,0.095,0,0.47,.,.,.,.,.,.,1,0
4,12,Digicel,Jamaica,Antigua and Barbuda,1,0.75,0.6,.,.,.,.,12.26,3.571,2.473,.,.,.,11.846,.,.,0.65,.,.,2,17,0,100,17,0,6.5,3.805,0.078,14.52,0.773,189.964,32.127,39.73,71.91,56.57,17.88,40.03,38.64,24.49,31.56,2,2,0.164,0.106,0.684,.,.,.,.,.,.,1,0
3,12,Digicel,Jamaica,Fiji,2,0.79,0.56,0.42,.,.,.,11.75,0.987,3.072,.,5.411,12.4261,6.709,0,7.1523,0.65,.,.,2,17,0,100,17,0,6.5,10,0.813,5.78,0.683,44.402,47.908,42.78,47.59,50.1,66.56,53.75,36.96,18.87,27.92,6,4,0.548,0.548,0.568,78,14,46,48,.,.,1,0
4,12,Digicel,Jamaica,Suriname,2,0.62,.,.,.,.,.,13.75,20.121,4.025,.,.,2.8281,6.808,0.001,2.8074,0.65,.,.,2,17,0,100,17,0,6.5,10,0.47,7.49,0.672,3.028,66.444,57.6,60.24,53.96,34.7,50.88,34.95,29.64,32.29,2,2,0.733,0.331,0.791,85,47,37,92,.,.,1,0
4,12,Digicel,Jamaica,Barbados,1,0.88,0.74,0.65,.,.,.,11,0.125,2.91,.,1.168,2.0056,14.107,0.037,.,0.65,.,.,2,17,0,100,17,0,6.5,10,0.268,23.08,0.75,627.551,33.83,39.73,48.65,51.91,36.37,46.47,38.64,24.49,31.56,1,1,0.294,0.146,0.683,.,.,.,.,.,.,1,0
4,12,Digicel,Jamaica,Bermuda,1,1.04,0.89,0.79,0.7,.,.,10,1.56,.,.,.,2.0056,.,.,.,0.65,.,.,2,17,0,100,17,0,6.5,5.336,0.063,37.94,0.75,1236.66,100,63,67.29,58.43,2.91,34.69,38.64,24.49,31.56,1,1,0.601,0.571,0.76,.,.,.,.,.,.,1,0
3,12,Digicel,Jamaica,Fiji,2,.,.,.,.,.,.,4.8,0.987,6.656,.,2.275,12.4261,0.552,0.008,.,0.65,.,.,2,17,0,100,17,0,6.5,7.352,0.857,5.82,0.706,46.632,51.44,42.78,47.59,50.1,66.56,53.75,36.96,18.87,27.92,6,4,0.548,0.548,0.568,78,14,46,48,.,.,0,0
3,12,Digicel,Jamaica,Papua New Guinea,3,0.87,.,.,.,.,.,4.55,4.097,4.317,.,4.222,15.0231,9.167,0.004,.,0.65,.,.,2,17,0,100,17,0,6.5,5.755,6.782,2.21,0.485,15.341,13.037,41.8,65.34,22.01,58.47,47.45,32.93,26.8,29.87,4,3,0.272,0.353,0.552,.,.,.,.,.,.,0,0
4,12,Digicel,Jamaica,Antigua and Barbuda,1,1.5,1.26,.,.,.,.,3.05,3.571,3.179,.,.,1.6704,1.055,0.006,.,0.65,.,.,2,17,0,100,17,0,6.5,3.962,0.087,18.48,0.783,212.684,26.819,39.73,71.91,56.57,17.88,40.03,38.64,24.49,31.56,2,2,0.164,0.106,0.684,.,.,.,.,.,.,0,0
3,12,Digicel,Jamaica,Vanuatu,3,.,.,.,.,.,.,6.3,1.418,3.778,.,.,13.2083,2.915,0,.,0.65,.,.,2,17,0,100,17,0,6.5,5.734,0.234,5.58,0.59,18.932,24.286,37.3,62.95,32.76,27.75,42.1,35.75,34.02,34.89,2,2,0.041,0.579,0.704,.,.,.,.,.,.,0,0
5,13,Econet Wireless,Zimbabwe,Burundi,4,.,.,.,.,.,.,14.5,12.489,5.228,2.312,.,1.8369,.,.,5.4489,0.19,.,.,1,3,0,44.18,25,1,0.848,6.907,6.757,0.71,0.268,249.249,8.246,40,26.26,18.98,32.87,25.39,30.63,14.23,22.43,5,5,0.295,0.298,0.516,77,20,46,54,9,78,1,0
