GeoR,Operators,Domicile,Country,EconR,EntryTimes,dev_operator,Admin,Demographics,Geographic,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI,EconGlob,SocialGlob,PoliticalGlob,OverallGlob,GIIInput,GIIOutput,GIIOverall,PR,CL,EthnicFrac,LinguisticFrac,ReligiousFrac,G3
5,Airtel (Bharti Airtel),India,Gabon,2,13.5,0,4.958,4.596,7.4823,3.676,1.24,8.5,0.633,4.778,80.082,42.2,39.48,40.55,64.2,46.69,41.2,20.54,30.87,6,4,0.786,0.808,0.097,1
5,Airtel (Bharti Airtel),India,Kenya,3,11.5,0,2.07,2.088,4.7423,5.259,31.706,1.94,0.447,55.26,19.892,48.1,40.4,25.63,83.2,46.75,39.24,19.05,29.15,4,4,0.859,0.886,0.777,1
5,Airtel (Bharti Airtel),India,Ghana,3,8.25,0,1.707,1.028,8.571,4.03,19.059,1.36,0.485,83.233,43.929,42.2,51.69,28.37,84.23,52.05,39.84,25.12,32.48,1,2,0.673,0.673,0.799,1
1,Axiata,Malaysia,Indonesia,3,6.25,0,2.086,1.685,1.1803,3.521,210.455,4.15,0.604,116.772,42.002,34.01,65.57,32.45,81.31,57.68,33.57,21.99,27.78,2,3,0.735,0.768,0.234,1
1,Axiata,Malaysia,Sri Lanka,3,6.25,0,1.864,1.714,3.5293,2.825,18.942,4.6,0.686,297.48,18.443,40.25,46.93,39.29,72.99,51.3,33.2,27.53,30.36,5,4,0.415,0.465,0.485,1
1,Axiata,Malaysia,Bangladesh,3,13.26,0,40.454,1.374,3.4041,5.006,133.556,1.79,0.468,1010.842,23.59,32.13,28.06,22.61,75.1,39.02,29.64,26.47,28.05,3,4,0.045,0.093,0.209,1
1,Axiata,Malaysia,Malaysia,2,4.75,0,0,0,0,2.669,23.673,14.18,0.587,70.569,61.977,46.05,74.62,75.14,79.19,76.07,52.94,35.17,44.05,4,4,0.588,0.597,0.666,1
1,Axiata,Malaysia,Nepal,4,10.25,0,5.148,2.426,4.1503,10,23.42,1.78,0.446,165.615,13.431,44,24.01,25.32,69.37,37,31.83,15.74,23.79,4,4,0.663,0.717,0.142,1
1,Axiata,Malaysia,Cambodia,3,11,0,11.226,6.305,1.4314,5.921,12.348,1.76,0.412,68.844,18.586,39.5,62.92,22.49,57.67,46.54,31.24,19.68,25.46,6,5,0.211,0.21,0.097,1
1,Axiata,Malaysia,Cambodia,3,8.5,0,11.226,6.305,1.4314,5.921,12.348,1.76,0.412,68.844,18.586,39.5,62.92,22.49,57.67,46.54,31.24,19.68,25.46,6,5,0.211,0.21,0.097,1
1,Beeline (VimpelCom),Russia,Kazakhstan,2,10.5,0,0.436,2.971,2.4471,4.294,14.567,7.64,0.685,5.513,55.729,28.8,64.25,42.82,65.7,56.74,39.86,20.77,30.32,6,5,0.617,0.662,0.59,1
2,Beeline (VimpelCom),Russia,Russian Federation,2,8,0,0,0,0,2.03,146.467,8.31,0.72,8.949,73.35,41.54,52.21,69.35,91.71,69.43,40.79,30.91,35.85,6,5,0.245,0.249,0.44,1
1,Beeline (VimpelCom),Russia,Tajikistan,3,6.25,0,1.12,14.566,3.0911,8.214,6.238,1.9,0.535,44.414,26.486,32.19,43.66,25.42,37.36,35.19,27.64,23.3,24.5,6,6,0.511,0.547,0.339,1
1,Beeline (VimpelCom),Russia,Uzbekistan,3,8.25,0,11.782,11.453,3.2439,2.577,24.964,1.48,0.594,57.946,37.429,35,40.69,38.2,44.04,40.69,33.23,14.65,23.94,7,7,0.413,0.412,0.213,1
1,Beeline (VimpelCom),Russia,Armenia,3,9,0,22.404,4.651,4.3498,10,3.068,0.62,0.644,107.818,64.666,29.58,63.49,44.12,48.92,52.32,37.1,28.9,33,6,4,0.127,0.129,0.458,1
2,Bite (Providence),Lithuania,Lithuania,1,5.75,1,0,0,0,5.346,3.48,8.57,0.757,55.832,66.986,34.44,76.41,65.33,71.24,70.89,47.46,29.52,38.49,1,1,0.322,0.322,0.414,1
2,Bite (Providence),Lithuania,Latvia,1,5.75,1,21.618,0.325,0.1272,5.602,2.358,8.12,0.728,38.066,68.067,36.4,77.04,68.32,47.77,65.75,47.46,32.14,39.8,1,1,0.587,0.58,0.556,1
4,Cable & Wireless,United Kingdom,Panama,2,11,1,13.566,8.678,8.4259,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,1
